issuer_name,year_month,card_type,input_mode,card_type_input_mode,txn_cnt,total,approved,fraud
Target,2024-01,CREDIT,CNP,CREDIT + CNP,100,1000,920,6
P1,2024-01,CREDIT,CNP,CREDIT + CNP,120,1200,1104,7
P2,2024-01,CREDIT,CNP,CREDIT + CNP,110,1100,1012,6
P3,2024-01,CREDIT,CNP,CREDIT + CNP,100,1000,920,6
P4,2024-01,CREDIT,CNP,CREDIT + CNP,90,900,828,5
P5,2024-01,CREDIT,CNP,CREDIT + CNP,80,800,736,4
P6,2024-01,CREDIT,CNP,CREDIT + CNP,100,1000,920,6
Target,2024-01,CREDIT,CP,CREDIT + CP,120,1200,1104,7
P1,2024-01,CREDIT,CP,CREDIT + CP,100,1000,920,6
P2,2024-01,CREDIT,CP,CREDIT + CP,120,1200,1104,7
P3,2024-01,CREDIT,CP,CREDIT + CP,110,1100,1012,6
P4,2024-01,CREDIT,CP,CREDIT + CP,90,900,828,5
P5,2024-01,CREDIT,CP,CREDIT + CP,80,800,736,4
P6,2024-01,CREDIT,CP,CREDIT + CP,100,1000,920,6
Target,2024-01,DEBIT,CNP,DEBIT + CNP,80,800,736,4
P1,2024-01,DEBIT,CNP,DEBIT + CNP,90,900,828,5
P2,2024-01,DEBIT,CNP,DEBIT + CNP,100,1000,920,6
P3,2024-01,DEBIT,CNP,DEBIT + CNP,120,1200,1104,7
P4,2024-01,DEBIT,CNP,DEBIT + CNP,110,1100,1012,6
P5,2024-01,DEBIT,CNP,DEBIT + CNP,80,800,736,4
P6,2024-01,DEBIT,CNP,DEBIT + CNP,100,1000,920,6
Target,2024-01,DEBIT,CP,DEBIT + CP,90,900,828,5
P1,2024-01,DEBIT,CP,DEBIT + CP,100,1000,920,6
P2,2024-01,DEBIT,CP,DEBIT + CP,90,900,828,5
P3,2024-01,DEBIT,CP,DEBIT + CP,110,1100,1012,6
P4,2024-01,DEBIT,CP,DEBIT + CP,120,1200,1104,7
P5,2024-01,DEBIT,CP,DEBIT + CP,80,800,736,4
P6,2024-01,DEBIT,CP,DEBIT + CP,100,1000,920,6
Target,2024-02,CREDIT,CNP,CREDIT + CNP,95,950,874,5
P1,2024-02,CREDIT,CNP,CREDIT + CNP,110,1100,1012,6
P2,2024-02,CREDIT,CNP,CREDIT + CNP,100,1000,920,6
P3,2024-02,CREDIT,CNP,CREDIT + CNP,120,1200,1104,7
P4,2024-02,CREDIT,CNP,CREDIT + CNP,90,900,828,5
P5,2024-02,CREDIT,CNP,CREDIT + CNP,80,800,736,4
P6,2024-02,CREDIT,CNP,CREDIT + CNP,100,1000,920,6
Target,2024-02,CREDIT,CP,CREDIT + CP,110,1100,1012,6
P1,2024-02,CREDIT,CP,CREDIT + CP,90,900,828,5
P2,2024-02,CREDIT,CP,CREDIT + CP,110,1100,1012,6
P3,2024-02,CREDIT,CP,CREDIT + CP,100,1000,920,6
P4,2024-02,CREDIT,CP,CREDIT + CP,120,1200,1104,7
P5,2024-02,CREDIT,CP,CREDIT + CP,80,800,736,4
P6,2024-02,CREDIT,CP,CREDIT + CP,100,1000,920,6
Target,2024-02,DEBIT,CNP,DEBIT + CNP,85,850,782,5
P1,2024-02,DEBIT,CNP,DEBIT + CNP,100,1000,920,6
P2,2024-02,DEBIT,CNP,DEBIT + CNP,120,1200,1104,7
P3,2024-02,DEBIT,CNP,DEBIT + CNP,90,900,828,5
P4,2024-02,DEBIT,CNP,DEBIT + CNP,110,1100,1012,6
P5,2024-02,DEBIT,CNP,DEBIT + CNP,80,800,736,4
P6,2024-02,DEBIT,CNP,DEBIT + CNP,100,1000,920,6
Target,2024-02,DEBIT,CP,DEBIT + CP,92,920,846,5
P1,2024-02,DEBIT,CP,DEBIT + CP,120,1200,1104,7
P2,2024-02,DEBIT,CP,DEBIT + CP,90,900,828,5
P3,2024-02,DEBIT,CP,DEBIT + CP,100,1000,920,6
P4,2024-02,DEBIT,CP,DEBIT + CP,110,1100,1012,6
P5,2024-02,DEBIT,CP,DEBIT + CP,80,800,736,4
P6,2024-02,DEBIT,CP,DEBIT + CP,100,1000,920,6
